Committee Name|Committee ID|Date Received|Date of Billing|Creditor Name|Creditor Address|Description|Amount Unpaid|Paid|Date Paid|Amount Paid|unknownNumeric
COMMITTEE FOR BETTER JOBS & SAFER NEIGHBORHOODS|99BQC00043|06/08/2000|05/01/2000|KSYZ - 107.7 FM               |                                                  |RADIO ADVERTISING                                 |1999||||31
COMMITTEE FOR BETTER JOBS & SAFER NEIGHBORHOODS|99BQC00043|06/08/2000|05/01/2000|RESEARCH ASSOCIATES           |                                                  |CAMPAIGN CONSULTANT                               |1000||||31
OMAHANS FOR STREETS AND SEWERS|99BQC00049|10/06/2000|10/05/2000|LOVGREN ADVERTISING, INC.     |120 REGENCY PRKWY#280                             |STRATEGIC PLANNING, ADVERTISING ACTIVITIES, FLYERS|6422.33||||47
CITIZENS FOR AMENDMENT 3|99BQC00057|10/30/2000|10/04/2000|NE PRESS ASSOC.               |845 S STREET, LINCOLN NE                          |FIRST CLASS PRESS RELEASE COPYING                 |140||||60
CITIZENS FOR AMENDMENT 3|99BQC00057|10/30/2000|10/17/2000|NE PRESS RELEASE              |845 S STREET, LINCOLN NE                          |BULLETIN RELEASE COPY PRESS RELEASE               |120||||60
NEBRASKANS AGAINST OUTSIDE INFLUENCE|99BQC00058|10/30/2000|10/20/2000|DAVID & ASSOCIATES            |PO BOX 130                                        |MEDIA ADVERTISING                                 |14563.59|1|10/30/2000||62
GOTHENBURG SCHOOL BUILDERS|99BQC00062|03/21/2001|02/28/2001|GOTHENBURG TIMES              |406 10TH STREET                                   |SCHOOL BOND ELECTION BROCHURES                    |1573.96||||72
YES! FOR QUALITY SCHOOLS|99BQC00063|03/26/2001|03/14/2001|GOLDENROD PRINTING            |2801 CORNHUSKER                                   |YARD SIGNS/LETTERHEAD/ENVELOPES/ARTWORK/SHIPPING  |2869.69||||74
YES! FOR QUALITY SCHOOLS|99BQC00063|03/26/2001|03/14/2001|THE PHILIP M. YOUNG COMPANY   |233 SOUTH 13TH, SUITE 800                         |CONSULTING                                        |4500||||74
CITIZENS FOR FUTURE SCHOOL INVESTMENT|99BQC00067|09/06/2001|08/24/2001|ADAMS CO CLERK                |500 W 4TH ST                                      |VOTER REGISTRATION LIST                           |294.56|1|09/10/2001||85
KEARNEY TOMORROW FINANCE COMMITTEE|99BQC00068|10/10/2001|08/16/2001|MATTLEY ADVERTISING & DESIGN  |2314 CENTRAL AVE                                  |CAMPAIGN FLYERS                                   |2310.75||||91
NEBRASKANS FOR LOCAL CONTROL(DISSOLVED)|99BQC00069|05/29/2002|05/09/2002|VARIOUS                       |                                                  |ACCRUED PAYROLL TAXES AND WITHOLDING              |1330.79||||97
NEBRASKANS FOR LOCAL CONTROL(DISSOLVED)|99BQC00069|07/01/2002|06/18/2002|VARIOUS                       |VARIOUS                                           |ACCRUED PAYROLL TAXES                             |1330.79||||98
CITIZENS FOR EXCELLENCE IN DIST #66|99BQC00073|07/26/2002|07/19/2002|LOVGREN MARKETING             |120 REGENCY PARKWAY STE 280, OMAHA                |CAMPAIGN MATERIALS, RETAINER                      |10309.98||||187
CITIZENS FOR EXCELLENCE IN DIST #66|99BQC00073|07/26/2002|07/22/2002|RICK MACINNES                 |3524 S 101ST ST, OMAHA                            |FEES FOR SERVICES AS CAMPAIGN MANAGER             |4000||||187
CITIZENS FOR EXCELLENCE IN DIST #66|99BQC00073|08/14/2002|08/11/2002|LOVGREN MARKETING GROUP       |120 REGENCY PKWY STE 280, OMAHA                   |AUGUST RETAINER, CAPAIGN MATERIALS, MAILINGS      |13705.98||||188
GAMBLING WITH THE GOOD LIFE |99BQC00074|01/27/2003|12/31/2002|BLACKWELL, SANDERS, PEPER, MAR||LEGAL SERVICES                                    |111194.62|0|01/27/2003||190
GAMBLING WITH THE GOOD LIFE |99BQC00074|01/27/2003|08/01/2002|PAT LOONTJER                  |                                                  |OFFICE EXPENSE & RENT                             |1500||||190
GAMBLING WITH THE GOOD LIFE |99BQC00074|01/27/2003|08/01/2002|DAN HAZUKA                    |                                                  |PHONE-WEBSITE-TRAVEL                              |750||||190
GAMBLING WITH THE GOOD LIFE |99BQC00074|01/27/2003|08/01/2002|JON KRUTZ                     |                                                  |RENT-PHONE OFFICE-EXPENSE                         |750||||190
GAMBLING WITH THE GOOD LIFE |99BQC00074|01/27/2003|08/01/2002|LYLE JAPP                     |                                                  |OFFICE EXPENSE-TRAVEL                             |750||||190
GAMBLING WITH THE GOOD LIFE |99BQC00074|02/03/2004|12/31/2003|BLACKWELL, SANDERS            |                                                  |LEGAL SERVICES                                    |107324.33||||191
GAMBLING WITH THE GOOD LIFE |99BQC00074|07/01/2004|06/01/2004|BLACKWELL SANDERS             |FIRST NATIONAL BLDG OMAHA NE 68102                |LEGAL WORK                                        |106324.33||||192
GAMBLING WITH THE GOOD LIFE |99BQC00074|07/01/2004|06/25/2004|CALTECH  ASSOC INCL           |13327 B ST OMAHA NE 68144                         |PHONES & INSTALLATION                             |712.51||||192
GAMBLING WITH THE GOOD LIFE |99BQC00074|07/01/2004|06/21/2004|DUNCAN AVIATION               |PO BOX 81887 LINCOLN NE 68501                     |AIR TRANSPORTAION IN NEBRASKA                     |3862.5||||192
GAMBLING WITH THE GOOD LIFE |99BQC00074|07/01/2004|06/22/2004|LOVGREN MARKETING             |                                                  |                                                  |1387.71||||192
GAMBLING WITH THE GOOD LIFE |99BQC00074|08/03/2004|06/01/2004|BLACKWELL, SANDERS, PEPER, MAR|                                                  |LEGAL SERVICES                                    |106324.33||||193
GAMBLING WITH THE GOOD LIFE |99BQC00074|08/03/2004|06/22/2004|LOVGREN MARKETING             |                                                  |TELEVISION & RADIO ADVERTISING                    |1387.71||||193
GAMBLING WITH THE GOOD LIFE |99BQC00074|10/05/2004|06/01/2004|BLACKWELL SANDERS PEPER MARTIN|FIRST NATL BANK BLDG OMAHA NE 68102               |LEGAL SERVICES                                    |106324.33||||194
GAMBLING WITH THE GOOD LIFE |99BQC00074|01/10/2005|06/01/2004|BLACKWELL SANDERS PEPER MARTIN|                                                  |LEGAL SERVICES                                    |76324.33||||196
CITIZENS FOR FIRE SAFETY|99BQC00076|10/28/2002|09/21/2002|LINCOLN FIREFIGHTERS PAC      |241 VICTORY LANE                                  |AD EXPENSE - AMERICAN COMMUNICATIONS GROUP - ADVER|2500||||200
YES FOR OPS KIDS COMMITTEE|99BQC00077|10/29/2002|10/21/2002|SHANNA BELSCHNER              |                                                  |CONSULTANT                                        |6000||||203
YES FOR OPS KIDS COMMITTEE|99BQC00077|01/15/2003|11/05/2002|SHANNA BELSCHNER              |                                                  |CONSULTING SERVICES                               |6000||||204
YES FOR OPS KIDS COMMITTEE|99BQC00077|01/15/2003|11/30/2002|SHANNA BELSCHNER              |                                                  |OFFICE EXPENSES                                   |229.87||||204
COMMUNITY UNITED FOR EDUCATION|99BQC00084|05/19/2003|05/15/2003|SCHUYLER CENTRAL HIGH SCHOOL  |401 ADAM ST SCHUYLER NE                           |POSTAGE/SUPPLIES                                  |100.2||||216
COMMUNITY UNITED FOR EDUCATION|99BQC00084|05/19/2003|05/01/2003|SCHUYLER SUN                  |1112 C ST SCHUYLER NE                             |NEWSPAPER ADVERTISING                             |500||||216
COMMUNITY UNITED FOR EDUCATION|99BQC00084|05/19/2003|05/01/2003|THREE EAGLES COMMUNICATIONS   |1418 25 ST COLUMBUS NE 68601                      |RADIO ADVERTISING                                 |500||||216
COMMUNITY UNITED FOR EDUCATION|99BQC00084|05/19/2003|05/01/2003|LESLIE & ASSOCIATES, INC.     |11915 P ST STE 100 OMAHA NE                       |AD CAMPAIGN ASSISTANCE/AGENCY FEEES               |4900||||216
STOP BIG BUSINESS SUBSIDIES-REPEAL LB 775|99BQC00088|06/01/2004|05/16/2004|GOLDENROD PRINTING            |2801 CORNHUSKER; LINCOLN                          |PRINTING PETITIONS & FLYERS & LITERATURE          |1812.58|1|||241
STOP BIG BUSINESS SUBSIDIES-REPEAL LB 775|99BQC00088|07/01/2004|05/16/2004|GOLDENROD PRINTING            |2801 CORNHUSKER LINCOLN NE 68504                  |PRITNING                                          |812.58||||242
STOP BIG BUSINESS SUBSIDIES-REPEAL LB 775|99BQC00088|08/02/2004|05/16/2004|GOLDENROD PRINTING            |                                                  |PRINTING                                          |812.58||||243
NEBRASKANS FOR AMENDMENT #2 COMMITTEE|06BQC00142|09/20/2006|09/14/2006|LOVGREN MARKETING|OMAHA, NE|RETAINER AND PUBLISHING|11776.65|0||0|4716
NEBRASKANS FOR AMENDMENT #2 COMMITTEE|06BQC00142|10/10/2006|09/14/2006|LOVGREN MARKETING|OMAHA, NE|RETAINER AND PUBLISHING|0|0|09/19/2006|2776.15|4598
NEBRASKANS FOR AMENDMENT #2 COMMITTEE|06BQC00142|01/17/2007|11/01/2006|LOVGREN MARKETING|OMAHA, NEBRASKA|PARTIAL OCTOBER AND NOVEMBER RETAINER FEE|0|1|01/12/2007|4000|5124
WERNER FOR CITY COUNCIL|99CAC00535|03/29/2005|03/10/2005|FIREWORKS RESTAURANT|LINCOLN NE|FOOD FOR FUNDRAISER|1160|1|03/28/2005||3271
NEBRASKANS FOR AMENDMENT #2 COMMITTEE|06BQC00142|12/06/2006|09/14/2006|LOVGREN MARKETING|OMAHA, NE|RETAINER AND PUBLISHING|0|1|11/14/2006|32553.8|5055
FRANKLIN THOMPSON FOR CITY COUNCIL COMMITTEE|99CAC00526|03/31/2005|03/21/2005|JO DON'S SIGN PRO|2332 CORNHUSKER RD OMAHA NE 68123|ADVERTISING|2113.25|1|05/02/2005||3280
FRANKLIN THOMPSON FOR CITY COUNCIL COMMITTEE|99CAC00526|03/31/2005|03/21/2005|MARIAN KAISER|8062 CEDAR ST OMAHA NE 68124|MANAGER SALARY|2500|1|06/14/2005||3280
WERNER FOR CITY COUNCIL|99CAC00535|04/25/2005|03/28/2005|GOLDENROD PRINTING|2801 CORNHUSKER HWY|PRINTING|1478.68|1|07/07/2005||3291
WERNER FOR CITY COUNCIL|99CAC00535|04/25/2005|04/04/2005|GOLDENROD PRINTING|2801 CORNHUSKER HWY|PRINTING|2738.49|1|07/12/2005||3291
JAMES BROWN FOR METRO COMMUNITY COLLEGE|06CAC00995|01/16/2007|11/06/2006|GOLDENROD PRINTING|2801 CORNHUSKER HWY LINCOLN,NE|PRINTING/MAILING|1001.13|||0|4627
JIM K. LAWSON FOR SHERIFF|99CAC00231|05/11/2002|04/11/2002|JIM LAWSON||KNEB RADIO 2302 SOUTH BELTLINE, SCOTTSBLUFF|492|0||0|1434
JIM K. LAWSON FOR SHERIFF|99CAC00231|05/11/2002|04/10/2002|JIM LAWSON||KPNY RADIO, 2106 1ST AVE, SCOTTSBLUFF|381|0||0|1434
SANDRA SCHROEDER|99BQC00094|05/03/2004|04/08/2004|DEAN DENNHARDT                |1330 W. LAKE ST. LINCOLN, NE                      |CAMPAIGN MANAGEMENT SERVICES                      |4000||||369
YES ON STREETS AND TRAILS|99BQC00096|08/16/2004|08/08/2004|BLAEMIER COMMUNICATIONS       |RESTON, VA                                        |VOTER FILE ENHANCEMENT                            |1000||||375
YES ON STREETS AND TRAILS|99BQC00096|08/16/2004|08/08/2004|DECISION RESEARCH             |WASHINGTON, DC                                    |POLLING                                           |17208.53||||375
CITIZENS AGAINST A TOTAL BAN|99BQC00098|10/25/2004|10/15/2004|BOOMERS PRINTING              |                                                  |YARD SIGNS/PRINTING                               |6018.35||||251
CITIZENS AGAINST A TOTAL BAN|99BQC00098|10/25/2004|10/18/2004|TIME WARNER CABLE             |                                                  |MEDIA                                             |4500||||251
CITIZENS AGAINST A TOTAL BAN|99BQC00098|10/25/2004|10/18/2004|KOLN                          |                                                  |MEDIA                                             |3580||||251
CITIZENS AGAINST A TOTAL BAN|99BQC00098|10/25/2004|10/15/2004|THE JOURNAL STAR              |                                                  |MEDIA                                             |1387.8||||251
YES FOR SMOKE FREE AIR COMMITTEE|99BQC00099|01/25/2005|11/03/2004|SNITILY CARR                  |300 S. 68TH ST. PLACE, LINCOLN, NE 68510          |TV 30"" ADS @ $3,925.86 AND $3,925.86              |7851.72||||255
JIM K. LAWSON FOR SHERIFF|99CAC00231|06/12/2002|04/10/2002|JIM LAWSON||KPNY RADIO, 2106 1ST AVE, SCOTTSBLUFF|0|1|06/23/2002|381|1435
JIM K. LAWSON FOR SHERIFF|99CAC00231|05/11/2002|04/12/2002|JIM LAWSON||SUPPLIES|87.89|0||0|1434
JIM K. LAWSON FOR SHERIFF|99CAC00231|06/12/2002|04/12/2002|JIM LAWSON||SUPPLIES|0|1|06/23/2002|87.89|1435
JIM K. LAWSON FOR SHERIFF|99CAC00231|10/09/2002|04/11/2002|JIM LAWSON||KNEB RADIO 2302 SOUTH BELTLINE, SCOTTSBLUFF|0||10/01/2002|300|1436
ANNE BOYLE FOR CITY COUNCIL|99CAC00691|05/03/2005|04/25/2005|WINNING DIRECTIONS |2700 S QUINCY ST STE 540, ARLINGTON VA|PRINTING & MAILING OF BROCHURES |6081.48|1|||3617
ANNE BOYLE FOR CITY COUNCIL|99CAC00691|05/03/2005|04/25/2005|WINNING DIRECTIONS ||PRINTING & MALIMG OF BROCHURES |6081.48|1|||3617
JIM K. LAWSON FOR SHERIFF|99CAC00231|10/09/2002|07/01/2002|JIM LAWSON                    |                                                  |OUTSTANDING UNPAID TO JIM LAWSON                  |0|1|07/01/2002|384|1436
COMMITTEE FOR FUNDING OUR FUTURE|05BQC00106|05/03/2005|04/27/2005|YORK PROMOTIONAL PRODUCTS |1618 A ROAD N, YORK NE |DOORNOB BAGS|956.71|1|05/11/2005||3622
FRANKLIN THOMPSON FOR CITY COUNCIL COMMITTEE|99CAC00526|05/03/2005|04/25/2005|DAVID BYWATER|8067 ARBOR ST OMAHA NE 68154|SALARY|3750|1|05/25/2005||3620
SOUTHWEST VOTERS FOR COOK (DISTRICT 3)|99CAC00003|04/29/2003|04/18/2003|GOLDENROD PRINTING            |2701 STRATFORD AVE LINCOLN, NE|PRINTING AND ARTWORK|3974.56|0||0|278
YES FOR SMOKE FREE AIR COMMITTEE|99BQC00099|01/25/2005|10/27/2004|GOLDENROD PRINTING            |2801 CORNHUSKER HWY, LINCOLN, NE 68504            |MAILINGS                                          |4318.06||||255
YES FOR SMOKE FREE AIR COMMITTEE|99BQC00099|01/25/2005|11/02/2004|GOLDENROD PRINTING            |2801 CORNHUSKER HWY, LINCOLN, NE 68504            |MAILINGS                                          |320.03||||255
ED SCHROCK FOR LEGISLATURE|99CAC00107|01/28/2002|12/31/2001|ED SCHROCK                    |74274 K RD                                        |TRAVEL IN 2001                                    |1177.14||||764
ED SCHROCK FOR LEGISLATURE|99CAC00107|01/28/2002|12/31/2001|ASAP PRINING SERVICES         |5012 BUNKER HILL RD LINCOLN,NE 68521              |PRINTING PUSHCARDS/SCHEDULES                      |883.21||||764
ED SCHROCK FOR LEGISLATURE|99CAC00107|01/14/2003|12/30/2002|ED SCHROCK                    |                                                  |MILEAGE                                           |5101.24||||770
ED SCHROCK FOR LEGISLATURE|99CAC00107|01/20/2005|01/09/2003|ED SCHROCK                    |74274 K ROAD, ELM CREEK NE                        |MILEAGE REIMBURSEMENT FOR 2002                    |1936.93||||772
